kl: 55 , 5(50) ,55(1)
kl: 55 , 5(49) ,55(1)
kl: 55 , 5(52) ,55(1)
kl: 55 , 5(49) ,55(1)
kl: 55 , 5(49) ,55(1)
kl: 55 , 5(47) ,55(1)
kl: 55 , 5(48) ,55(1)
kl: 55 , 5(47) ,55(1)
kl: 55 , 5(52) ,55(1)
kl: 55 , 5(49) ,55(1)
kl: 56 , 2(49) ,56(0)
kl: 56 , 2(51) ,56(0)
kl: 56 , 2(51) ,56(0)
kl: 56 , 2(53) ,56(0)
kl: 56 , 2(53) ,56(0)
kl: 56 , 2(53) ,56(0)
kl: 56 , 2(52) ,56(0)
kl: 56 , 2(52) ,56(0)
kl: 56 , 2(52) ,56(0)
kl: 56 , 2(52) ,56(0)
kl: 57 , 3(55) ,57(0)
kl: 57 , 3(55) ,57(0)
kl: 57 , 3(54) ,57(0)
kl: 57 , 3(49) ,57(0)
kl: 57 , 3(52) ,57(0)
kl: 57 , 3(51) ,57(0)
kl: 57 , 3(53) ,57(0)
kl: 57 , 3(54) ,57(0)
kl: 57 , 3(51) ,57(0)
kl: 57 , 3(54) ,57(0)
kl: 58 , 2(53) ,58(2)
kl: 58 , 2(54) ,58(2)
kl: 58 , 2(53) ,58(2)
kl: 58 , 2(52) ,58(2)
kl: 58 , 2(56) ,58(2)
kl: 58 , 2(56) ,58(2)
kl: 58 , 2(51) ,58(2)
kl: 58 , 2(56) ,58(2)
kl: 58 , 2(54) ,58(2)
kl: 58 , 2(55) ,58(2)
kl: 59 , 59(2) ,59(2)
kl: 59 , 59(2) ,59(2)
kl: 59 , 59(2) ,59(2)
kl: 59 , 59(2) ,59(2)
kl: 59 , 59(2) ,59(2)
kl: 59 , 59(2) ,59(2)
kl: 59 , 59(2) ,59(2)
kl: 59 , 59(2) ,59(2)
kl: 59 , 59(2) ,59(2)
kl: 59 , 59(2) ,59(2)
kl: 60 , 2(55) ,30(47)
kl: 60 , 2(51) ,30(42)
kl: 60 , 2(51) ,30(38)
kl: 60 , 2(59) ,30(46)
kl: 60 , 2(51) ,30(49)
kl: 60 , 2(55) ,30(45)
kl: 60 , 2(57) ,30(45)
kl: 60 , 2(57) ,30(40)
kl: 60 , 2(53) ,30(47)
kl: 60 , 2(58) ,30(45)

average letter accuracy: 30.64%
average length accuracy: 71.66%
['0%', '0%', '0%', '75.0%', '0%', '88.33%', '0%', '85.0%', '86.66%', '91.0%', '0%', '81.66%', '0%', '89.28%', '89.33%', '90.0%', '0%', '91.11%', '0%', '91.5%', '86.19%', '91.81%', '0%', '89.58%', '86.0%', '88.84%', '89.62%', '89.64%', '0%', '94.66%', '0%', '92.81%', '90.60%', '92.94%', '88.85%', '94.16%', '0%', '92.63%', '92.05%', '91.5%', '2.439%', '91.66%', '0%', '93.63%', '91.33%', '90.0%', '0%', '91.04%', '88.57%', '92.80%', '91.37%', '94.61%', '0%', '91.48%', '89.45%', '92.5%', '92.63%', '93.10%', '3.389%', '91.16%']

average letter accuracy: 96.10%
average length accuracy: 34.66%
['0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '4.736%', '0%', '0%', '0%', '0%', '4.166%', '0%', '0%', '11.11%', '0%', '3.448%', '0%', '0%', '0%', '0%', '0%', '2.857%', '2.777%', '0%', '2.631%', '0%', '0%', '2.439%', '2.380%', '0%', '0%', '0%', '2.173%', '0%', '6.25%', '4.081%', '4.0%', '0%', '0%', '0%', '5.555%', '1.818%', '0%', '0%', '3.448%', '3.389%', '74.0%']

[KASISKI EXAMINATION]
Jekyll & Hyde

[Finished in 269.4s]
